scope,check,n,min_slack,tol,passed,max_fraction_of_bound
ctrl22,lipschitz_pairs,30,0.0006588597626839261,1e-12,1,
ctrl22,tv_slope,190,2.5468347838525385,1e-09,1,0.109822904120537
ctrl22:H0,constant_margin,101,1.114741632335381e-11,2e-06,1,
ctrl22:H0,fs_angle,25,0.036082272325593905,1e-09,1,
ctrl22:H0,trajectory_certificate,62,0.0008298116990889115,2.761427422256701e-14,1,
ctrl22:H1,constant_margin,101,9.129030864585275e-12,2e-06,1,
ctrl22:H1,fs_angle,25,0.0339137634497053,1e-09,1,
ctrl22:H1,trajectory_certificate,62,0.0008995985686435226,2.761427422256701e-14,1,
ctrl22:H2,constant_margin,101,7.815970093361102e-14,2e-06,1,
ctrl22:H2,fs_angle,25,0.03423539999449419,1e-09,1,
ctrl22:H2,trajectory_certificate,62,0.0008688553865733306,2.761427422256701e-14,1,
ctrl23,polytope,60,0.0009326954939351539,1e-12,1,
ctrl23,lipschitz_pairs,30,0.0007379242787441613,1e-12,1,
ctrl23,tv_slope,185,2.437476023656823,1e-09,1,0.12857980797206084
ctrl23:H0,constant_margin,101,8.058664846544161e-12,2e-06,1,
ctrl23:H0,fs_angle,25,0.03496624821812753,1e-09,1,
ctrl23:H0,trajectory_certificate,62,0.0007695228929558429,2.8540462241236684e-14,1,
ctrl23:H1,constant_margin,101,5.6779025925379756e-12,2e-06,1,
ctrl23:H1,fs_angle,25,0.03462201790723997,1e-09,1,
ctrl23:H1,trajectory_certificate,62,0.0008609690721899099,2.8540462241236684e-14,1,
ctrl23:H2,constant_margin,101,7.797096301942474e-12,2e-06,1,
ctrl23:H2,fs_angle,25,0.03355011546181491,1e-09,1,
ctrl23:H2,trajectory_certificate,62,0.0008848931548918193,2.8540462241236684e-14,1,
ctrl24,polytope,60,0.000964929864732289,1e-12,1,
ctrl24,lipschitz_pairs,30,0.000733762988472626,1e-12,1,
ctrl24,tv_slope,186,2.5493494924840183,1e-09,1,0.13016301103848865
ctrl24:H0,constant_margin,101,1.77244885435357e-11,2e-06,1,
ctrl24:H0,fs_angle,25,0.0343754129289129,1e-09,1,
ctrl24:H0,trajectory_certificate,62,0.0008374530806817271,2.8424472589783674e-14,1,
ctrl24:H1,constant_margin,101,9.603540185310067e-12,2e-06,1,
ctrl24:H1,fs_angle,25,0.03328039034711861,1e-09,1,
ctrl24:H1,trajectory_certificate,62,0.0008773069460464855,2.8424472589783674e-14,1,
ctrl24:H2,constant_margin,101,8.977929510933791e-12,2e-06,1,
ctrl24:H2,fs_angle,25,0.035418829335859,1e-09,1,
ctrl24:H2,trajectory_certificate,62,0.000856245622909535,2.8424472589783674e-14,1,
ctrl25,polytope,60,0.0009601499937578195,1e-12,1,
ctrl25,lipschitz_pairs,30,0.0008255238961710305,1e-12,1,
ctrl25,tv_slope,190,2.7328096064214265,1e-09,1,0.10144341575791449
ctrl25:H0,constant_margin,101,9.831024883055761e-12,2e-06,1,
ctrl25:H0,fs_angle,25,0.035621243996232316,1e-09,1,
ctrl25:H0,trajectory_certificate,62,0.0008457373882436725,2.8003929882749332e-14,1,
ctrl25:H1,constant_margin,101,1.7347345782070533e-11,2e-06,1,
ctrl25:H1,fs_angle,25,0.033139616739309166,1e-09,1,
ctrl25:H1,trajectory_certificate,62,0.0009037752979481617,2.8003929882749332e-14,1,
ctrl25:H2,constant_margin,101,7.36177785398695e-12,2e-06,1,
ctrl25:H2,fs_angle,25,0.033904076242396566,1e-09,1,
ctrl25:H2,trajectory_certificate,62,0.0008798846224652435,2.8003929882749332e-14,1,
ctrl26,polytope,60,0.0009569175093323556,1e-12,1,
ctrl26,lipschitz_pairs,30,0.000756925805962594,1e-12,1,
ctrl26,tv_slope,189,2.739317334310059,1e-09,1,0.10812667173678737
ctrl26:H0,constant_margin,101,8.842149235022134e-12,2e-06,1,
ctrl26:H0,fs_angle,25,0.0346702870502912,1e-09,1,
ctrl26:H0,trajectory_certificate,62,0.000777146889338276,2.7273292009215266e-14,1,
ctrl26:H1,constant_margin,101,1.7944645769318868e-11,2e-06,1,
ctrl26:H1,fs_angle,25,0.034559229534570246,1e-09,1,
ctrl26:H1,trajectory_certificate,62,0.0008627111679916366,2.7273292009215266e-14,1,
ctrl26:H2,constant_margin,101,1.7525980666732721e-12,2e-06,1,
ctrl26:H2,fs_angle,25,0.0341125656639873,1e-09,1,
ctrl26:H2,trajectory_certificate,62,0.000889824313128118,2.7273292009215266e-14,1,
ctrl27,polytope,60,0.000959754172041416,1e-12,1,
ctrl27,lipschitz_pairs,30,0.0006934319193026585,1e-12,1,
ctrl27,tv_slope,185,2.569973287537674,1e-09,1,0.1320724372723309
ctrl27:H0,constant_margin,101,2.831068712794149e-13,2e-06,1,
ctrl27:H0,fs_angle,25,0.03545239166477096,1e-09,1,
ctrl27:H0,trajectory_certificate,62,0.0008509443578601505,2.7678344375944406e-14,1,
ctrl27:H1,constant_margin,101,2.7312596628803476e-12,2e-06,1,
ctrl27:H1,fs_angle,25,0.034974567843076204,1e-09,1,
ctrl27:H1,trajectory_certificate,62,0.0008886377690539016,2.7678344375944406e-14,1,
ctrl27:H2,constant_margin,101,7.055245276887945e-12,2e-06,1,
ctrl27:H2,fs_angle,25,0.03427245038875795,1e-09,1,
ctrl27:H2,trajectory_certificate,62,0.0008938952498395158,2.7678344375944406e-14,1,
ctrl28,polytope,60,0.0009615442035003641,1e-12,1,
ctrl28,lipschitz_pairs,30,0.000726348479102338,1e-12,1,
ctrl28,tv_slope,179,2.4241801625621333,1e-09,1,0.13563072673059248
ctrl28:H0,constant_margin,101,1.2547296535103669e-11,2e-06,1,
ctrl28:H0,fs_angle,25,0.035158773186436204,1e-09,1,
ctrl28:H0,trajectory_certificate,62,0.0008169994173139461,2.7952433074114736e-14,1,
ctrl28:H1,constant_margin,101,1.3656187292099276e-11,2e-06,1,
ctrl28:H1,fs_angle,25,0.03035616886119092,1e-09,1,
ctrl28:H1,trajectory_certificate,62,0.0008747941075594179,2.7952433074114736e-14,1,
ctrl28:H2,constant_margin,101,4.23849844111146e-12,2e-06,1,
ctrl28:H2,fs_angle,25,0.03511568708098918,1e-09,1,
ctrl28:H2,trajectory_certificate,62,0.0008872823578914835,2.7952433074114736e-14,1,
ctrl29,polytope,60,0.0009502585060698898,1e-12,1,
ctrl29,lipschitz_pairs,30,0.0007697134249926303,1e-12,1,
ctrl29,tv_slope,180,2.5779953768697434,1e-09,1,0.1303649758064247
ctrl29:H0,constant_margin,101,1.8320678307759408e-11,2e-06,1,
ctrl29:H0,fs_angle,25,0.034118404351714086,1e-09,1,
ctrl29:H0,trajectory_certificate,62,0.0008263418891015784,2.858463468415527e-14,1,
ctrl29:H1,constant_margin,101,1.7315593403566254e-11,2e-06,1,
ctrl29:H1,fs_angle,25,0.031979391353036506,1e-09,1,
ctrl29:H1,trajectory_certificate,62,0.0008833534539853805,2.858463468415527e-14,1,
ctrl29:H2,constant_margin,101,1.8399615164810257e-11,2e-06,1,
ctrl29:H2,fs_angle,25,0.033061579877952794,1e-09,1,
ctrl29:H2,trajectory_certificate,62,0.0008530165112839994,2.858463468415527e-14,1,
ctrl30,polytope,60,0.0009490159143357157,1e-12,1,
ctrl30,lipschitz_pairs,30,0.0007948229937789648,1e-12,1,
ctrl30,tv_slope,180,2.235334162321945,1e-09,1,0.12020073586540113
ctrl30:H0,constant_margin,101,1.6553536319463547e-11,2e-06,1,
ctrl30:H0,fs_angle,25,0.03447156839182684,1e-09,1,
ctrl30:H0,trajectory_certificate,62,0.000787118533577158,2.6688828060606508e-14,1,
ctrl30:H1,constant_margin,101,1.3769541062913504e-11,2e-06,1,
ctrl30:H1,fs_angle,25,0.03352776037652079,1e-09,1,
ctrl30:H1,trajectory_certificate,62,0.0008542360607363131,2.6688828060606508e-14,1,
ctrl30:H2,constant_margin,101,4.869993297518249e-12,2e-06,1,
ctrl30:H2,fs_angle,25,0.032332752253489486,1e-09,1,
ctrl30:H2,trajectory_certificate,62,0.0008729566256104881,2.6688828060606508e-14,1,
ctrl31,polytope,60,0.0009649553267211397,1e-12,1,
ctrl31,lipschitz_pairs,30,0.0007453465223590148,1e-12,1,
ctrl31,tv_slope,182,2.5030361230508276,1e-09,1,0.12123042271168458
ctrl31:H0,constant_margin,101,5.399458657961986e-12,2e-06,1,
ctrl31:H0,fs_angle,25,0.03481327689063568,1e-09,1,
