controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
51,0.9999377005712213,6.22994287786671e-05,0.006015848646871059,0.006015848646871059,0.006663047104239991,0.014324110433837377,0.009170657090728368,0.009170657090728368,0.009209471289830216,-0.00018056090854642938,0.012973838854707785,0.012973838854707785,0.013069040464352083,8.550178042459093e-05
52,0.9999335906978701,6.64093021298662e-05,0.005493146325928207,0.005623122229645582,0.005493146325928207,-0.00435332403335533,0.008328556922255183,0.008328556922255183,0.008336092827262801,0.00013103339392717592,0.010072657046056453,0.010089833580711575,0.010072657046056453,9.223323200335572e-05
53,0.9999330801517845,6.69198482154965e-05,0.005230114206302282,0.005276499450033957,0.005230114206302282,-0.002126951414656974,0.012167265119435328,0.012200663420492603,0.012167265119435328,9.376930946216718e-06,0.0059331914456386605,0.0059331914456386605,0.005954322535963948,9.337732117745991e-05
54,0.9999223709138325,7.76290861674855e-05,0.004731172321118057,0.004731172321118057,0.005345398968617684,0.021789694833346442,0.007263183107155234,0.007263183107155234,0.007278050683474601,7.695235981444058e-05,0.010805578407349449,0.01083357744728572,0.010805578407349449,-4.4107886407897335e-05
55,0.9999206945115415,7.93054884584699e-05,0.005290059997996793,0.005290059997996793,0.0055593231771084665,0.008193559686406705,0.006843052151206673,0.006919619578427084,0.006843052151206673,-0.0008158893820547706,0.010575676056569353,0.010620022859225605,0.010575676056569353,-0.0002450555203159089
56,0.9999190346862958,8.09653137041622e-05,0.00468483906805121,0.00468483906805121,0.0049516290745963455,0.010655358327668441,0.006498841296373096,0.0065026706699499795,0.006498841296373096,1.0632161589324823e-06,0.017440301803427483,0.017440301803427483,0.01750488106627541,-5.9199009246215976e-05
57,0.9999084156898567,9.15843101433333e-05,0.005351217555884074,0.005644248184413291,0.005351217555884074,-0.009097723468514745,0.006362304193675833,0.006384804436170108,0.006362304193675833,-0.00011038203763595926,0.007496429169671618,0.0075749103566095126,0.007496429169671618,-0.00012846127328632547
58,0.9999069849275312,9.30150724688383e-05,0.005390150762360385,0.005574226081758978,0.005390150762360385,-0.006191330408123548,0.005319643635522333,0.005319643635522333,0.005323463302781353,3.891889536323124e-05,0.008632640927177634,0.008713105350844618,0.008632640927177634,-5.827093625649823e-05
59,0.9999037240988098,9.62759011902126e-05,0.004310568455924507,0.004310568455924507,0.005068344886056958,0.031520527215545706,0.009666665684967973,0.009710062508095234,0.009666665684967973,3.129210388491984e-05,0.007813767655446719,0.007813767655446719,0.007834354680518758,-1.7422705782849902e-05
60,0.9999033447097302,9.66552902698092e-05,0.004921965608480407,0.004921965608480407,0.005584196927305347,0.0209773358410412,0.009322491441729946,0.009322491441729946,0.009351206346574973,0.00011912946372945229,0.007359783829291847,0.007359783829291847,0.0073647750478825855,6.828792838976583e-05
61,0.9999009466228718,9.90533771282331e-05,0.004527305950632471,0.004527305950632471,0.00499399189747865,0.01821488874334507,0.010710325862975368,0.010751013000846776,0.010710325862975368,-7.772362436334374e-05,0.006587933130954585,0.006587933130954585,0.006593606224855863,-3.481878631687212e-06
