controller,fid,err,M_H0,Mm_H0,Mp_H0,zeta_H0,M_H1,Mm_H1,Mp_H1,zeta_H1,M_H2,Mm_H2,Mp_H2,zeta_H2
11,0.99999638326992,3.6167300803136e-06,0.00613886045398741,0.00623864681924468,0.00613886045398741,-0.00310159193176615,0.00945725833055306,0.00950492525083042,0.00945725833055306,-6.04559320992652e-05,0.0124472700792233,0.0124472700792233,0.012457220601953,-0.000136877397796102
12,0.999995954882849,4.04511715135225e-06,0.00565526432450486,0.00565526432450486,0.00582088230681894,0.00491891733275598,0.00633188351795414,0.00633188351795414,0.00634027737714382,0.000316001095504514,0.0107241307461542,0.0107382779642827,0.0107241307461542,3.14587304338938e-05
13,0.999995717521989,4.28247801109727e-06,0.00495317211089065,0.00495317211089065,0.00508575149056051,0.00537101007788294,0.00827778909005773,0.00827956884630032,0.00827778909005773,0.000115345113264988,0.00823358580055922,0.00828586331260244,0.00823358580055922,4.644985824494e-05
14,0.999994965587876,5.03441212429401e-06,0.00627751845085673,0.00627751845085673,0.00650320518669653,0.00537931997586272,0.00625663360057282,0.00625663360057282,0.00627090133170599,0.000118154800384923,0.00964739504675203,0.00964739504675203,0.00974105770226944,0.000116913029901967
15,0.999994800429549,5.19957045053143e-06,0.00573523720752015,0.00573523720752015,0.0058013851758208,0.00139692619213177,0.00756046747540799,0.00756046747540799,0.00760244285071127,0.000403424526790175,0.010162704075838,0.010162704075838,0.0101745543512085,-7.47752108446545e-05
16,0.999994672464459,5.32753554083332e-06,0.00676695230567676,0.00676695230567676,0.00691574221102207,0.00293108235958391,0.0144486620970451,0.014541660331304,0.0144486620970451,-4.79326596661675e-06,0.0115160850650023,0.0115527696595507,0.0115160850650023,-3.08897705422461e-05
17,0.999994499833192,5.50016680833654e-06,0.0054696233488753,0.0054696233488753,0.00567417116154028,0.00581032093020322,0.00864361503823654,0.00864361503823654,0.00866892080631857,0.000100141315809736,0.00743824409377541,0.00743824409377541,0.00747414270609022,-7.7093507231015e-05
18,0.999994215271873,5.78472812684527e-06,0.0060312431588433,0.00611016337184981,0.0060312431588433,-0.00283271794359179,0.0062062107327693,0.00624925960357277,0.0062062107327693,-0.000472838190955016,0.0109038459643255,0.0109652422938325,0.0109038459643255,-0.000433204499144374
19,0.99999179774764,8.20225235975691e-06,0.00612408030867215,0.00612408030867215,0.00623044072404321,0.0031583572899732,0.00901313479782526,0.00901313479782526,0.00904490605434343,0.000481460118812044,0.00849073227344473,0.00849073227344473,0.00852923105705389,0.000190217453133341
20,0.999991779220368,8.22077963191781e-06,0.00506056903673691,0.00513409051114692,0.00506056903673691,-0.00307741250825609,0.00864828844537355,0.00865479145019132,0.00864828844537355,-8.25949229774508e-07,0.0116435137169379,0.0116646082931078,0.0116435137169379,4.52992416417787e-05
21,0.999991453193044,8.54680695572263e-06,0.00579808093078209,0.00579808093078209,0.00581821100019058,0.000283223182414514,0.00552063305148174,0.00553963802980291,0.00552063305148174,-3.35885320655622e-05,0.00718261041330228,0.00718520968463138,0.00718261041330228,0.000187923987053407
22,0.999989411126095,1.05888739045934e-05,0.00551197369648917,0.00553067732304744,0.00551197369648917,-0.000826116019776597,0.0111981434763781,0.0112179334949716,0.0111981434763781,-5.81905772605039e-05,0.00678998332716959,0.00681942582156703,0.00678998332716959,-0.000109694953329191
23,0.999988582740128,1.14172598717488e-05,0.00468039803648869,0.00478123080186158,0.00468039803648869,-0.00479950016542205,0.0104460589380783,0.0104818415218234,0.0104460589380783,-1.02821590814876e-05,0.00986086944897603,0.00986086944897603,0.00986373522002724,2.46574404294227e-05
